audience_id,Audience Gender,Audience Age,Audience Location,Audience Interests
1,Other,29,United Kingdom,respond
2,Male,23,Estonia,number
3,Female,33,Lao People's Democratic Republic,attorney
4,Other,23,Jordan,affect
5,Male,33,United States Minor Outlying Islands,page
6,Female,57,Armenia,natural
7,Female,65,Slovakia (Slovak Republic),north
8,Other,57,Latvia,green
9,Female,35,Kiribati,American
10,Female,20,Czech Republic,color
11,Female,57,Gambia,with
12,Male,53,Aruba,door
13,Other,48,Nicaragua,range
14,Female,20,Bouvet Island (Bouvetoya),stage
15,Female,39,Argentina,before
16,Male,44,Norfolk Island,chair
17,Male,53,Turkey,machine
18,Other,49,Lebanon,glass
19,Female,23,Cyprus,crime
20,Male,25,Finland,his
21,Female,22,Morocco,difference
22,Other,45,Gibraltar,soon
23,Male,50,Iran,enter
24,Male,56,Argentina,career
25,Male,50,Aruba,wear
26,Other,56,Saudi Arabia,sort
27,Male,42,Grenada,far
28,Female,27,Lao People's Democratic Republic,toward
29,Other,38,Estonia,eat
30,Female,37,Barbados,because
31,Male,43,Venezuela,hour
32,Male,34,Bhutan,condition
33,Male,26,Ukraine,son
34,Female,35,Holy See (Vatican City State),night
35,Female,55,Dominican Republic,general
36,Male,44,Comoros,move
37,Other,60,Grenada,ever
38,Female,22,Guernsey,run
39,Male,51,Ukraine,or
40,Female,46,Korea,federal
41,Female,60,Micronesia,treat
42,Female,62,Northern Mariana Islands,truth
43,Female,29,Italy,hope
44,Male,31,Russian Federation,name
45,Male,47,Cuba,training
46,Female,26,Lithuania,truth
47,Male,41,Martinique,involve
48,Male,20,Greece,line
49,Female,33,Montserrat,now
50,Other,25,Ukraine,money
51,Other,31,Equatorial Guinea,outside
52,Male,33,American Samoa,paper
53,Other,40,Brunei Darussalam,far
54,Female,41,Bhutan,American
55,Other,51,Kazakhstan,blue
56,Female,49,Maldives,enjoy
57,Male,33,Cameroon,thus
58,Other,52,New Zealand,lawyer
59,Male,38,Netherlands Antilles,meet
60,Other,60,New Caledonia,not
61,Other,26,Liechtenstein,strong
62,Female,37,Yemen,human
63,Male,45,Bangladesh,although
64,Male,30,Vietnam,her
65,Female,53,British Virgin Islands,administration
66,Other,47,Croatia,house
67,Male,62,Bolivia,research
68,Other,65,Rwanda,once
69,Male,53,Saint Helena,expect
70,Male,59,Bahamas,stand
71,Male,30,Latvia,again
72,Female,39,Netherlands,shoulder
73,Female,22,Saint Vincent and the Grenadines,as
74,Female,30,Georgia,produce
75,Male,41,Maldives,their
76,Male,40,Haiti,brother
77,Male,53,France,address
78,Other,21,Sri Lanka,adult
79,Other,53,Maldives,easy
80,Female,24,Djibouti,drug
81,Male,42,Zambia,employee
82,Female,41,Mauritius,bank
83,Female,54,Falkland Islands (Malvinas),scene
84,Other,26,Macao,American
85,Male,49,Zambia,impact
86,Female,47,Mayotte,account
87,Male,49,British Indian Ocean Territory (Chagos Archipelago),question
88,Male,36,Sweden,Mr
89,Other,49,Guadeloupe,man
90,Female,65,Denmark,might
91,Male,35,Georgia,city
92,Other,22,Saint Vincent and the Grenadines,ten
93,Female,48,Palestinian Territory,create
94,Male,44,Isle of Man,school
95,Female,55,Turks and Caicos Islands,item
96,Other,32,Portugal,success
97,Male,45,Bosnia and Herzegovina,their
98,Male,18,United Arab Emirates,fall
99,Female,19,Botswana,thing
100,Other,40,Jamaica,recent
101,Male,60,Iceland,upon
102,Other,39,Sao Tome and Principe,summer
103,Male,48,Liberia,fine
104,Female,64,Uganda,public
105,Female,61,United Arab Emirates,job
106,Other,25,Nauru,which
107,Other,65,Panama,red
108,Female,26,Croatia,bed
109,Male,24,Mauritania,listen
110,Female,38,Greenland,computer
111,Male,57,Iceland,free
112,Female,39,Saint Helena,finish
113,Male,56,Myanmar,soldier
114,Male,50,French Guiana,break
115,Male,26,Faroe Islands,anything
116,Other,42,Zimbabwe,computer
117,Male,64,United Arab Emirates,these
118,Male,48,Guernsey,administration
119,Male,47,Iran,and
120,Male,61,Trinidad and Tobago,around
121,Other,42,Saint Martin,report
122,Other,45,Western Sahara,study
123,Female,42,Andorra,member
124,Female,29,Costa Rica,push
125,Other,44,Kenya,personal
126,Male,46,China,memory
127,Female,35,Algeria,occur
128,Male,45,Norway,yes
129,Other,56,Guinea-Bissau,despite
130,Female,18,American Samoa,stay
131,Female,43,British Indian Ocean Territory (Chagos Archipelago),treat
132,Female,43,Macao,medical
133,Female,31,Lao People's Democratic Republic,worker
134,Male,58,French Guiana,issue
135,Other,49,Seychelles,reveal
136,Female,48,Falkland Islands (Malvinas),without
137,Male,50,Cambodia,decision
138,Male,53,Nepal,several
139,Female,32,Venezuela,write
140,Female,61,Burkina Faso,line
141,Male,22,China,film
142,Other,59,Mexico,build
143,Male,58,Latvia,beautiful
144,Female,55,Israel,daughter
145,Male,56,Croatia,movie
146,Other,29,Turks and Caicos Islands,check
147,Male,36,Canada,myself
148,Male,53,Tokelau,trial
149,Female,60,Benin,indeed
150,Female,49,Saint Vincent and the Grenadines,democratic
151,Other,44,Papua New Guinea,character
152,Other,28,Denmark,glass
153,Female,53,Palestinian Territory,whatever
154,Male,44,Christmas Island,rate
155,Other,37,Suriname,clear
156,Female,38,Peru,customer
157,Female,61,Antigua and Barbuda,material
158,Male,38,Cayman Islands,those
159,Other,64,Gabon,theory
160,Other,40,Brunei Darussalam,writer
161,Other,47,Myanmar,institution
162,Other,41,Gibraltar,everybody
163,Female,19,Christmas Island,recent
164,Female,38,Oman,different
165,Other,34,Lithuania,end
166,Male,33,Nepal,option
167,Other,64,Malawi,player
168,Female,31,Iceland,such
169,Male,64,Chile,team
170,Female,56,Mayotte,political
171,Female,62,Tajikistan,another
172,Male,58,Saint Martin,have
173,Other,42,Switzerland,popular
174,Female,37,Zimbabwe,senior
175,Female,18,Belize,page
176,Female,47,Turks and Caicos Islands,drop
177,Female,62,Aruba,key
178,Male,49,Iceland,reason
179,Other,43,Australia,director
180,Male,32,Andorra,finally
181,Male,41,Niger,something
182,Male,27,Saint Barthelemy,half
183,Male,48,Paraguay,human
184,Other,53,Lebanon,claim
185,Male,29,Liberia,career
186,Other,52,Algeria,option
187,Male,18,Falkland Islands (Malvinas),administration
188,Male,53,Poland,have
189,Other,56,Solomon Islands,music
190,Female,30,Malaysia,star
191,Other,65,Haiti,challenge
192,Male,55,Kiribati,heart
193,Female,22,Kuwait,growth
194,Male,22,Bahamas,partner
195,Male,33,Hong Kong,child
196,Male,51,French Guiana,dream
197,Female,59,Iraq,wait
198,Male,34,Comoros,whom
199,Other,47,Mali,serious
200,Other,53,Northern Mariana Islands,alone
201,Female,42,Brazil,spring
202,Female,23,Belgium,loss
203,Male,47,Heard Island and McDonald Islands,political
204,Male,42,Israel,when
205,Male,50,Cape Verde,may
206,Female,65,Kazakhstan,on
207,Female,46,Cayman Islands,family
208,Female,20,Mauritius,figure
209,Other,65,Uganda,rise
210,Female,60,Svalbard & Jan Mayen Islands,born
211,Male,57,Ghana,anyone
212,Male,43,Timor-Leste,your
213,Other,20,Singapore,bill
214,Other,61,Kazakhstan,of
215,Female,26,Lesotho,bag
216,Female,45,Falkland Islands (Malvinas),keep
217,Male,28,Sao Tome and Principe,pull
218,Female,20,Vanuatu,none
219,Male,45,Tuvalu,eat
220,Other,29,Nauru,turn
221,Male,44,Azerbaijan,recently
222,Male,24,Ecuador,city
223,Female,54,Tuvalu,miss
224,Other,22,Guam,fear
225,Other,64,Cape Verde,enough
226,Female,46,Suriname,one
227,Male,47,Bahamas,garden
228,Male,32,Trinidad and Tobago,hand
229,Other,35,Zambia,across
230,Other,30,Cyprus,within
231,Male,49,Turks and Caicos Islands,enough
232,Male,31,Israel,reality
233,Male,57,Seychelles,anything
234,Other,42,Germany,report
235,Male,63,South Georgia and the South Sandwich Islands,environment
236,Other,61,Turkmenistan,world
237,Female,59,Taiwan,whose
238,Other,49,French Polynesia,unit
239,Male,53,Botswana,before
240,Male,52,Zimbabwe,sister
241,Male,59,Latvia,tend
242,Other,58,New Caledonia,let
243,Female,62,Mali,big
244,Other,65,Svalbard & Jan Mayen Islands,attention
245,Other,50,Trinidad and Tobago,ago
246,Male,39,Montenegro,film
247,Female,53,Czech Republic,wonder
248,Female,46,Solomon Islands,whether
249,Female,40,Jordan,already
250,Other,25,Costa Rica,among
251,Other,39,Timor-Leste,that
252,Other,30,Moldova,might
253,Female,52,Nicaragua,cup
254,Male,55,Lesotho,effort
255,Female,55,Panama,white
256,Female,36,Lesotho,require
257,Male,61,Guam,myself
258,Other,56,Albania,win
259,Male,27,Samoa,black
260,Female,29,Kuwait,region
261,Other,38,Austria,claim
262,Other,65,Bouvet Island (Bouvetoya),offer
263,Other,45,Haiti,issue
264,Female,41,Japan,become
265,Male,27,Hong Kong,paper
266,Male,37,Papua New Guinea,unit
267,Female,59,Uzbekistan,media
268,Other,27,Saint Lucia,change
269,Female,51,Guam,rich
270,Other,49,Argentina,would
271,Male,24,United States Virgin Islands,hit
272,Other,49,Marshall Islands,sport
273,Female,45,Paraguay,behind
274,Other,19,Canada,black
275,Male,38,Rwanda,these
276,Male,49,Bouvet Island (Bouvetoya),role
277,Male,31,Spain,section
278,Male,37,Anguilla,cell
279,Other,61,Mauritania,possible
280,Male,56,Tuvalu,practice
281,Female,55,Norway,table
282,Other,56,Portugal,vote
283,Female,48,United Arab Emirates,four
284,Female,29,Sierra Leone,member
285,Other,36,Turks and Caicos Islands,TV
286,Male,28,Martinique,over
287,Male,47,Libyan Arab Jamahiriya,chair
288,Female,32,Guadeloupe,eye
289,Other,52,Libyan Arab Jamahiriya,modern
290,Other,26,Slovakia (Slovak Republic),brother
291,Male,42,Spain,create
292,Female,23,Anguilla,set
293,Other,50,Slovenia,situation
294,Male,19,Chad,writer
295,Other,52,Heard Island and McDonald Islands,call
296,Other,65,Djibouti,right
297,Male,24,Qatar,everybody
298,Other,42,Colombia,along
299,Female,51,Nicaragua,cause
300,Male,49,Syrian Arab Republic,subject
301,Male,20,Senegal,happy
302,Female,28,Congo,possible
303,Other,37,Bahrain,successful
304,Female,20,Georgia,lawyer
305,Male,48,United States Virgin Islands,above
306,Other,49,Egypt,effect
307,Female,65,Mayotte,around
308,Female,35,Lithuania,half
309,Male,23,Hong Kong,green
310,Other,61,Senegal,east
311,Female,47,San Marino,pay
312,Male,22,Belgium,day
313,Female,57,Saint Kitts and Nevis,impact
314,Male,47,Nepal,style
315,Female,60,Niue,specific
316,Male,43,Niger,environment
317,Other,20,Tuvalu,or
318,Female,51,Russian Federation,ready
319,Other,44,Barbados,box
320,Female,52,Cape Verde,than
321,Female,27,Svalbard & Jan Mayen Islands,real
322,Other,18,Finland,when
323,Male,55,China,building
324,Male,44,Lebanon,baby
325,Male,48,French Guiana,onto
326,Other,44,Azerbaijan,thank
327,Male,50,Dominica,measure
328,Male,65,Korea,senior
329,Female,25,Faroe Islands,fill
330,Male,44,Myanmar,cover
331,Male,23,Papua New Guinea,decade
332,Other,31,Palestinian Territory,later
333,Male,45,San Marino,rise
334,Other,20,Cook Islands,front
335,Female,19,Cyprus,own
336,Male,59,Bhutan,commercial
337,Female,19,Bouvet Island (Bouvetoya),collection
338,Male,58,Cameroon,forget
339,Female,46,Reunion,edge
340,Female,52,Russian Federation,parent
341,Female,49,Tuvalu,central
342,Other,46,Tajikistan,by
343,Male,35,Nicaragua,board
344,Male,61,Algeria,few
345,Other,55,Colombia,agreement
346,Female,65,Holy See (Vatican City State),southern
347,Female,37,Solomon Islands,board
348,Other,37,Maldives,easy
349,Female,54,French Guiana,training
350,Female,30,Barbados,pattern
351,Male,53,Cambodia,possible
352,Other,56,British Indian Ocean Territory (Chagos Archipelago),effect
353,Other,56,Tajikistan,society
354,Male,34,Ukraine,idea
355,Male,51,Cambodia,gun
356,Male,20,Colombia,measure
357,Other,39,Greenland,outside
358,Female,50,Belarus,rather
359,Male,34,Nicaragua,study
360,Other,47,Seychelles,ok
361,Other,18,Cambodia,learn
362,Female,35,Kenya,its
363,Other,34,Saint Barthelemy,front
364,Female,19,Lithuania,person
365,Male,54,Bhutan,accept
366,Male,31,Somalia,wide
367,Male,21,Tunisia,career
368,Male,61,Oman,these
369,Female,41,Kuwait,feeling
370,Female,65,Iraq,significant
371,Female,62,Peru,prevent
372,Male,20,Macao,give
373,Male,23,Palau,letter
374,Male,33,Kuwait,response
375,Male,42,Suriname,office
376,Other,20,Malaysia,good
377,Other,26,Mali,entire
378,Other,36,Antigua and Barbuda,role
379,Female,49,Western Sahara,attorney
380,Male,37,Malta,paper
381,Female,26,Tokelau,all
382,Male,26,Lao People's Democratic Republic,country
383,Male,47,Peru,well
384,Other,45,North Macedonia,rather
385,Male,39,Palestinian Territory,keep
386,Other,52,Gabon,poor
387,Other,23,Turkmenistan,on
388,Other,45,Bermuda,class
389,Female,30,Pitcairn Islands,environmental
390,Male,34,Benin,military
391,Male,47,Serbia,blue
392,Other,61,Tanzania,early
393,Female,60,Cape Verde,charge
394,Male,40,Mali,kind
395,Female,37,Burundi,book
396,Female,31,Eritrea,recent
397,Male,45,Saint Pierre and Miquelon,may
398,Female,54,Oman,apply
399,Female,31,Ukraine,sometimes
400,Female,57,Niue,animal
401,Other,28,Armenia,politics
402,Male,23,Slovakia (Slovak Republic),rule
403,Male,28,Northern Mariana Islands,home
404,Other,31,Italy,go
405,Other,25,American Samoa,play
406,Female,20,Nicaragua,lay
407,Other,50,Micronesia,final
408,Other,23,Bahamas,challenge
409,Other,48,Dominica,away
410,Other,32,Bouvet Island (Bouvetoya),side
411,Female,64,Guinea,movie
412,Female,43,Romania,campaign
413,Other,34,Bermuda,man
414,Male,24,Netherlands,all
415,Male,64,Hungary,point
416,Male,45,French Polynesia,task
417,Male,21,Paraguay,chair
418,Female,30,United Arab Emirates,picture
419,Male,22,Djibouti,thing
420,Other,33,Iran,building
421,Male,46,Rwanda,all
422,Male,37,Cayman Islands,range
423,Female,62,Saint Martin,film
424,Other,22,British Indian Ocean Territory (Chagos Archipelago),huge
425,Male,52,Korea,avoid
426,Male,30,Madagascar,pretty
427,Female,35,Paraguay,authority
428,Male,26,Belarus,might
429,Other,50,Norway,interview
430,Other,21,Chad,project
431,Female,24,Micronesia,clearly
432,Male,33,Sweden,according
433,Female,24,Switzerland,avoid
434,Male,30,Equatorial Guinea,first
435,Female,43,Belgium,day
436,Female,21,Central African Republic,despite
437,Female,20,Bolivia,probably
438,Other,54,Mauritania,prevent
439,Male,58,Bulgaria,watch
440,Other,36,Croatia,involve
441,Male,49,Mali,yes
442,Male,53,Heard Island and McDonald Islands,red
443,Other,64,Luxembourg,require
444,Other,25,Netherlands Antilles,bag
445,Male,29,Kuwait,effort
446,Female,55,Honduras,no
447,Male,32,Albania,report
448,Other,58,Morocco,religious
449,Male,31,El Salvador,provide
450,Male,30,Bangladesh,fast
451,Male,58,Zimbabwe,day
452,Female,35,Australia,main
453,Female,23,Cyprus,develop
454,Male,55,Niger,recently
455,Female,26,Algeria,computer
456,Male,47,Senegal,team
457,Other,65,Colombia,time
458,Female,61,Uruguay,season
459,Female,34,Germany,Republican
460,Other,46,Svalbard & Jan Mayen Islands,chair
461,Male,19,Bahrain,win
462,Other,48,United Kingdom,put
463,Female,33,United States Minor Outlying Islands,beautiful
464,Male,61,Latvia,summer
465,Male,50,United States Virgin Islands,animal
466,Female,62,Anguilla,go
467,Female,49,Mali,key
468,Other,37,Mayotte,personal
469,Other,56,Jersey,bank
470,Other,60,Switzerland,lawyer
471,Other,43,Brazil,past
472,Male,24,Bouvet Island (Bouvetoya),education
473,Male,61,Ghana,something
474,Male,30,Romania,will
475,Male,56,Niue,base
476,Female,35,Djibouti,dinner
477,Male,19,Mauritania,sometimes
478,Male,57,Bhutan,cause
479,Other,25,Oman,three
480,Other,31,Eritrea,arrive
481,Female,41,Ukraine,entire
482,Female,61,Bahamas,here
483,Male,20,Bhutan,agent
484,Other,45,Azerbaijan,compare
485,Female,42,South Georgia and the South Sandwich Islands,control
486,Male,27,Thailand,hit
487,Male,57,Morocco,use
488,Female,24,Guinea-Bissau,room
489,Female,64,Martinique,door
490,Other,29,Australia,within
491,Other,62,Haiti,partner
492,Male,47,Ukraine,until
493,Female,54,Liechtenstein,difficult
494,Female,55,Uzbekistan,statement
495,Female,18,Western Sahara,land
496,Female,57,Singapore,avoid
497,Male,43,Turks and Caicos Islands,sea
498,Male,37,France,bill
499,Male,41,Belarus,take
500,Female,65,Congo,up
501,Female,52,Guinea-Bissau,easy
502,Male,60,Montenegro,source
503,Other,37,Trinidad and Tobago,nice
504,Female,21,Mayotte,try
505,Other,23,Switzerland,mouth
506,Other,52,Portugal,scientist
507,Other,23,American Samoa,hear
508,Male,38,Tunisia,national
509,Other,48,Saint Barthelemy,girl
510,Male,56,Nepal,across
511,Other,54,Mozambique,carry
512,Female,31,Malta,although
513,Other,53,Tuvalu,everything
514,Female,33,Namibia,these
515,Male,26,Slovenia,economy
516,Female,34,French Guiana,decade
517,Male,65,Andorra,fear
518,Other,22,Korea,focus
519,Male,26,Martinique,south
520,Male,34,Slovenia,walk
521,Male,64,Qatar,state
522,Female,22,Serbia,why
523,Other,56,China,program
524,Other,55,Saint Helena,discuss
525,Female,40,Lithuania,difference
526,Other,53,Zambia,our
527,Other,20,Saint Pierre and Miquelon,bed
528,Male,34,Cape Verde,product
529,Other,21,Cuba,page
530,Other,50,Mozambique,establish
531,Male,42,Togo,despite
532,Female,50,Morocco,officer
533,Male,25,Eritrea,wide
534,Female,60,Botswana,still
535,Male,34,Slovenia,always
536,Other,58,Djibouti,nature
537,Other,31,Macao,cut
538,Male,23,Falkland Islands (Malvinas),production
539,Other,28,Faroe Islands,will
540,Male,39,Western Sahara,here
541,Other,31,Panama,draw
542,Other,36,Faroe Islands,capital
543,Female,34,Antarctica (the territory South of 60 deg S),yard
544,Female,62,Jordan,stuff
545,Other,48,Ethiopia,thousand
546,Other,58,Somalia,office
547,Male,48,Germany,find
548,Male,41,Faroe Islands,thousand
549,Male,35,Syrian Arab Republic,child
550,Other,26,Saint Kitts and Nevis,forget
551,Male,52,Slovakia (Slovak Republic),present
552,Male,65,Honduras,control
553,Female,65,El Salvador,good
554,Other,57,Nicaragua,despite
555,Female,32,Liberia,rock
556,Female,54,Bosnia and Herzegovina,our
557,Female,55,Senegal,bank
558,Female,60,Philippines,song
559,Other,48,Iraq,where
560,Female,64,Niger,bank
561,Female,34,Bahamas,wind
562,Female,42,Singapore,plant
