Post ID,audience_id,platform_id,sentiment_id,Likes,Comments,Shares,Reach,Impressions,Engagement Rate
1,1,1,3,415,77,85,1842,2619,31.32
9,2,1,1,1000,378,94,3695,8539,39.84
11,3,2,1,604,29,2,1831,1386,34.68
12,4,3,1,288,230,56,3927,2516,14.62
17,5,2,2,632,267,58,3020,4463,31.69
18,6,2,1,759,95,21,2284,3135,38.31
19,7,4,2,210,49,86,3443,9224,10.02
24,8,3,1,915,489,89,3579,8910,41.72
32,9,4,3,497,67,26,4876,9628,12.1
33,10,3,1,403,233,121,3004,3182,25.2
35,11,2,1,679,407,180,1509,7980,83.9
36,12,2,2,430,301,146,1056,3606,83.05
44,13,4,1,185,403,89,1378,3945,49.13
49,14,1,1,897,337,125,2401,7284,56.6
52,15,2,3,574,41,31,1150,8529,56.17
53,16,2,1,549,374,98,2409,2118,42.38
56,17,3,1,518,247,58,4464,6117,18.44
61,18,3,1,197,130,40,1971,9351,18.62
65,19,2,1,82,397,8,3944,6621,12.35
66,20,1,2,120,178,147,1897,7578,23.46
74,21,4,1,820,307,137,2356,3001,53.65
77,22,1,1,344,97,161,1615,7569,37.28
79,23,4,1,877,4,140,3159,5645,32.32
80,24,4,1,385,272,36,807,6883,85.87
81,25,3,1,464,428,170,4703,8388,22.58
83,26,2,1,243,138,172,1251,3475,44.2
86,27,2,3,199,442,93,1012,2777,72.53
89,28,3,1,812,434,72,3107,5258,42.42
90,29,2,1,916,229,85,4896,5444,25.12
93,30,3,3,446,88,73,4778,7326,12.7
102,31,4,1,441,314,124,2905,9374,30.26
109,32,1,1,502,497,148,3905,9303,29.37
111,33,4,1,281,199,104,4528,1547,12.9
112,34,3,1,659,215,32,3934,7023,23.03
114,35,4,1,341,120,26,3752,4652,12.98
118,36,1,2,74,425,59,3850,3972,14.49
120,37,3,1,154,63,50,4521,8765,5.91
126,38,2,1,631,219,22,3751,6402,23.25
129,39,2,2,574,218,186,2551,1429,38.34
134,40,4,1,445,167,75,2651,5699,25.91
138,41,4,1,882,182,121,2594,1033,45.68
139,42,2,1,970,0,185,3685,9140,31.34
140,43,3,1,128,34,133,1783,7372,16.55
146,44,3,1,750,159,100,3134,1470,32.2
149,45,4,1,365,10,11,4828,2060,8.0
156,46,3,3,205,126,173,1664,7798,30.29
162,47,4,2,427,414,121,3464,7233,27.77
171,48,2,1,479,177,11,3198,7839,20.86
173,49,3,3,700,236,28,2671,6206,36.09
178,50,3,1,215,145,37,2177,6750,18.24
179,51,2,1,370,148,161,4628,5971,14.67
185,52,2,1,923,354,108,1990,9069,69.6
186,53,3,1,856,243,98,4692,4530,25.51
187,54,3,1,108,133,59,4358,1471,6.88
189,55,3,2,477,336,153,3535,9608,27.33
192,56,1,1,495,56,83,4104,3790,15.45
193,57,4,1,725,377,22,2507,8399,44.83
195,58,4,1,231,72,186,4844,5272,10.09
199,59,1,1,237,45,16,4489,5645,6.64
200,60,2,1,346,118,52,2025,8356,25.48
201,61,3,1,849,39,178,3633,3598,29.34
202,62,1,1,194,269,27,3907,7491,12.54
203,63,4,3,813,421,53,3976,9371,32.37
207,64,3,2,731,369,45,2698,2632,42.44
208,65,2,3,523,431,98,3244,6152,32.43
210,66,1,3,7,445,46,1005,8934,49.55
211,67,1,1,64,42,151,2402,3633,10.7
214,68,1,1,727,319,28,4117,3089,26.09
215,69,2,3,331,321,1,3771,5395,17.32
216,70,1,2,261,230,11,1872,3689,26.82
217,71,3,1,68,298,182,3562,8600,15.38
220,72,4,1,716,470,119,2889,1976,45.17
221,73,1,1,574,142,11,783,6266,92.85
222,74,3,2,78,78,108,4815,1673,5.48
223,75,1,2,928,409,79,4767,4345,29.7
