Post ID,platform_id,sentiment_id,Post Type,Post Timestamp,Post Content,Post Hour,Post Minute
1,1,3,Video,2024-12-18 19:49:18,Want that according same wish.,19,49
9,1,1,Link,2024-12-18 22:21:06,Action other would side.,22,21
11,2,1,Link,2024-12-18 15:59:48,Floor glass bring indicate seem detail.,15,59
12,3,1,Image,2024-12-18 19:50:24,Customer stop language everybody rest chance me.,19,50
17,2,2,Link,2024-12-18 06:20:06,Ground board after read.,6,20
18,2,1,Video,2024-12-18 18:46:36,Friend education author care evidence.,18,46
19,4,2,Link,2024-12-18 18:39:18,Half see campaign many door increase animal.,18,39
24,3,1,Video,2024-12-18 22:21:30,Subject structure role who themselves.,22,21
32,4,3,Video,2024-12-18 03:38:06,Cause right process while by suddenly.,3,38
33,3,1,Video,2024-12-18 01:30:12,Artist four if treatment science.,1,30
35,2,1,Link,2024-12-18 12:23:18,Road particular upon maintain bed at society law.,12,23
36,2,2,Video,2024-12-18 02:02:54,Adult character admit.,2,2
44,4,1,Video,2024-12-18 17:31:30,Federal candidate Republican window north.,17,31
49,1,1,Link,2024-12-18 08:53:36,Fact miss time number wide red break.,8,53
52,2,3,Image,2024-12-18 00:22:36,Call us long evening floor.,0,22
53,2,1,Link,2024-12-18 01:03:06,Question learn run nearly believe political series.,1,3
56,3,1,Link,2024-12-18 08:35:54,Interest never pull trouble throughout.,8,35
61,3,1,Link,2024-12-18 21:27:18,Speak hold evidence job add.,21,27
65,2,1,Link,2024-12-18 21:14:12,Affect cell low shoulder Mr might cup see.,21,14
66,1,2,Link,2024-12-18 02:45:54,When simple his might clear check try.,2,45
74,4,1,Link,2024-12-18 12:15:18,Young can brother.,12,15
77,1,1,Link,2024-12-18 04:25:36,Organization family after week hot.,4,25
79,4,1,Image,2024-12-18 00:36:36,He group energy subject very safe.,0,36
80,4,1,Video,2024-12-18 13:44:06,Pay until improve simply.,13,44
81,3,1,Link,2024-12-18 12:09:00,Sense run pattern yet customer.,12,9
83,2,1,Image,2024-12-18 12:03:06,Bar clearly camera share network authority road.,12,3
86,2,3,Link,2024-12-18 20:30:12,Drive serve perform she phone international prevent two.,20,30
89,3,1,Link,2024-12-18 20:13:12,About pass use understand expert investment.,20,13
90,2,1,Image,2024-12-18 02:37:18,Push serious movement evening.,2,37
93,3,3,Image,2024-12-18 08:39:06,Employee rest agreement contain particularly.,8,39
102,4,1,Video,2024-12-18 17:09:54,Including west trial around political without.,17,9
109,1,1,Link,2024-12-18 07:41:30,Director claim leader foot create movie author because.,7,41
111,4,1,Link,2024-12-18 11:31:54,Trip star keep purpose a social.,11,31
112,3,1,Video,2024-12-18 19:54:06,Well east relate idea science enjoy.,19,54
114,4,1,Video,2024-12-18 23:18:48,Approach capital degree response day fly pass.,23,18
